CustomerID,CreditScore,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,GameGenre,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel,Subscription_Length_Months,Monthly_Bill,Contract,MonthlyCharges,TotalCharges,tenure
1,450,48776,3,1,1,50733,0,Strategy,Medium,4,89,24,1,Medium,5,532,Yearly,1038,14140,3
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1159,Monthly,1810,39980,16
3,535,11695,3,1,0,48853,0,Strategy,Medium,4,100,22,8,Low,6,486,Monthly,576,20573,9
4,749,42046,1,0,1,42930,0,Puzzle,Medium,4,10,16,0,Medium,13,495,Yearly,940,20569,21
5,629,1943,4,1,1,48439,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6,0,0,0,0,0,0,0,Puzzle,Hard,7,132,50,1,High,0,0,0,0,0,0
7,737,47774,3,1,0,80766,0,Strategy,Easy,2,38,6,1,Low,23,1112,Yearly,1114,33987,18
8,0,0,0,0,0,0,0,Action,Hard,4,43,11,10,High,0,0,0,0,0,0
9,526,88054,2,0,1,25509,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1503,Monthly,1478,24152,4
11,666,84582,1,1,0,82982,0,0,0,0,0,0,0,0,0,0,0,0,0,4
12,442,12757,4,1,0,21236,0,0,0,0,0,0,0,0,0,0,0,0,0,6
13,441,43937,2,1,1,63716,0,Adventure,Hard,9,51,11,8,Low,3,1025,Monthly,351,31058,20
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,909,Yearly,1424,41481,30
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1281,Monthly,1302,1729,22
16,631,28425,3,0,1,78183,0,Puzzle,Easy,9,48,21,0,High,18,537,Monthly,663,31476,15
17,0,0,0,0,0,0,0,Action,Easy,13,161,4,20,Medium,0,0,0,0,0,0
18,725,29689,1,1,1,22113,0,Adventure,Hard,14,116,24,8,Low,23,338,Yearly,1004,9957,20
19,839,38069,2,0,1,55076,0,Puzzle,Hard,4,98,4,6,Medium,16,340,Monthly,551,23299,21
20,0,0,0,0,0,0,0,Action,Medium,12,95,1,18,Low,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,692,Monthly,1893,1138,5
22,565,90389,4,1,0,50823,0,0,0,0,0,0,0,0,0,0,0,0,0,5
23,0,0,0,0,0,0,0,Puzzle,Medium,4,156,7,7,High,0,0,0,0,0,0
24,0,0,0,0,0,0,0,Strategy,Medium,18,156,43,0,Low,0,0,0,0,0,0
25,632,45498,1,0,1,85846,0,Adventure,Medium,4,97,22,9,Medium,21,285,Yearly,1472,29003,7
26,0,0,0,0,0,0,0,Puzzle,Hard,15,141,30,14,Medium,0,0,0,0,0,0
